request_type,request_query,date,maxtempC,mintempC,avgtempC,uvIndex,windspeedKmph,winddirDegree,weatherDes_value,precipMM,humidity,visibility,pressure,cloudcover,HeatIndexC,DewPointC,WindChillC,WindGustKmph,FeelsLikeC,Weather
City,"Ho Chi Minh City, Vietnam",11/8/2008,32,24,29,6,5,105,Light rain shower,5.2,86,10,1008,61,32,24,27,9,32,yes
,,11/9/2008,31,25,29,6,4,169,Moderate or heavy rain shower,22.1,89,9,1009,46,33,25,27,6,33,yes
,,11/10/2008,32,24,28,6,5,59,Torrential rain shower,26.5,86,8,1010,47,31,24,27,8,31,yes
,,11/11/2008,31,22,28,6,6,121,Moderate or heavy rain shower,6.1,86,8,1010,28,30,23,26,10,30,yes
,,11/12/2008,32,21,27,7,7,126,Sunny,0.4,81,10,1010,11,29,22,25,11,29,no
,,11/13/2008,32,22,28,7,9,168,Partly cloudy,0.1,78,10,1009,13,29,22,26,13,29,no
,,11/14/2008,28,22,25,6,11,306,Light rain shower,1.2,81,10,1009,69,27,21,25,16,27,yes
,,11/15/2008,30,22,27,6,5,171,Moderate or heavy rain shower,17.4,92,8,1009,67,29,24,25,8,29,yes
,,11/16/2008,31,23,28,6,4,128,Light rain shower,4.2,87,8,1008,38,31,24,27,6,31,yes
,,11/17/2008,29,24,26,6,7,89,Thundery outbreaks possible,1.1,88,10,1007,44,29,23,25,11,29,maybe
,,11/18/2008,31,23,28,6,7,99,Patchy rain possible,3,86,10,1008,38,31,24,27,10,31,maybe
,,11/19/2008,31,24,29,6,6,48,Moderate or heavy rain shower,7.3,86,8,1010,24,32,25,27,10,32,yes
,,11/20/2008,31,24,29,6,6,38,Moderate or heavy rain shower,10.3,85,9,1011,25,31,24,27,10,31,yes
,,11/21/2008,31,23,28,6,5,92,Patchy light rain with thunder,9.9,87,9,1011,25,30,24,26,8,30,yes
,,11/22/2008,29,23,27,6,6,59,Light rain shower,3.9,89,9,1010,43,29,24,26,10,29,yes
,,11/23/2008,31,24,28,6,4,101,Moderate or heavy rain shower,9.8,89,8,1010,64,31,25,27,6,31,yes
,,11/24/2008,31,24,28,6,5,62,Moderate or heavy rain shower,15.3,88,8,1010,57,31,24,27,8,31,yes
,,11/25/2008,30,25,28,6,7,88,Moderate or heavy rain shower,35.6,89,8,1011,44,31,25,27,11,31,yes
,,11/26/2008,30,24,28,6,6,185,Moderate or heavy rain shower,11.1,88,8,1011,33,31,24,26,9,31,yes
,,11/27/2008,29,21,25,6,16,12,Heavy rain,33.3,89,8,1011,56,27,22,24,26,27,yes
,,11/28/2008,27,20,24,5,12,177,Heavy rain at times,44.6,88,9,1012,64,24,21,23,20,24,yes
,,11/29/2008,24,21,23,5,11,219,Patchy light drizzle,0.4,85,9,1013,67,25,20,23,18,25,yes
,,11/30/2008,24,21,23,5,9,104,Moderate rain,6.5,88,8,1013,66,25,20,22,14,25,yes
